id,company,sentiment,raw_tweet
1589,Battlefield,Negative,"No one buy battlefield 3 on steam! It doesn’t have an app, it literally runs through a google search. Do not recommend it, it’s a waste of money #SteamSummerSale #SteamSummerSale2020"
8174,Microsoft,Positive,#Indigo Urgent Care looks to Microsoft Teams and Microsoft’s Power Platform to help deliver quality care and world-class patient experience lnkd.in/eAzWmuB
11086,TomClancysGhostRecon,Negative,"@GhostRecon @GhostRecon_UK Your PvP server doesn't work... Nobody can connect. And pls delete the scope for drones. They're useless und block syringes...
#Bugpoint #Brokenpoint pic.twitter.com/QkTNee6DVZ"
3948,Cyberpunk2077,Positive,LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
8822,Nvidia,Positive,Great job guys @Peter_shirley and @withyounotsmwhr
465,ApexLegends,Positive,feels good to get a Victory in #ApexLegends with your high school buddies. we are all in our late 20's now.  @VictorpMeraz4  @NOLDRAY #FreaksAndGeeks deserved a second season!!!
9850,PlayStation5(PS5),Positive,"Interesting... (for real, this is really awesome looking!)"
10078,PlayerUnknownsBattlegrounds(PUBG),Negative,Even tae playing pubg I won’t ever installing it hahahaha I dislike that game so much
3206,Facebook,Negative,Why would you fuck your way to the bottom exactly?
11685,Verizon,Negative,"Hey @verizonfios @verizon @VerizonSupport Why is my internet speed 360Mbps down\327Mbps up when I pay for 1Gig symmetric services?
#verizonfios #fiosfail #speedtest #fiosfam

Test is performed over a wired connection with CAT8 SFTP 40GB cables.
speedtest.net/result/c/7cf7b…"
96,Amazon,Positive,"Seeing Amazon Prime marketing Borat by getting him in TikToks, vlogs, YouTube videos is amazing.

World's changing, if you still doubt the power of an online audience, it's time to quit."
11577,TomClancysRainbowSix,Positive,Happy to be back doing what I love :))
2981,Dota2,Negative,"What the fuck is wrong with u guys?
@DOTA2"
4574,Google,Negative,Well that's not helping to reassure me my data is safe with @google
3993,Cyberpunk2077,Positive,"You know how you buy consoles for specific games, I dead ass bought this card so that I can get the absolute best experience from @CyberpunkGame I want to absolutely immerse myself in this game. @NVIDIAGeForce ray tracing, all of that, I want it all. pic.twitter.com/neA45IHUvo"
1967,CallOfDutyBlackopsColdWar,Negative,"The recent Warzone and Modern Warfare patch has leaked tons of Black Ops: Cold War details including singleplayer campaign description, editions, and potential release date.  

#CallofDuty #BlackOpsColdWar #ModernWarfare #Warzone bit.ly/3j6HYci"
8438,NBA2K,Negative,"Sorta amusing how #nba2k has such self-centered community managers that have built up such limited goodwill, that when they released a demo identical to 2k20, everyone was vocal about it being trash #NBA2K21 
 https://t.co/Nw1LMRJGN6"
10729,RedDeadRedemption(RDR),Positive,"I'm getting a lot out of Red Dead Redemption 2 right now, the game enables me to do a lot of dumb things and generally be an idiot.

feelsgoodman"
1990,CallOfDutyBlackopsColdWar,Negative,Oh dear god my computer is gonna get fried from all this
1701,CallOfDutyBlackopsColdWar,Positive,HOLYYYYY. Definitely streaming it this weekend👀be on the look out
9619,PlayStation5(PS5),Positive,"This #PlayStation5 pre order is an absolute....

Hopefully Xbox goes smoother next week and I'll get two 😒"
7458,LeagueOfLegends,Positive,Nothing like getting two leavers in the game that would have promoted you. I love league of legends👍👍👍👍👍🤡
10906,TomClancysGhostRecon,Positive,the chopper shot is stunning 🔥
2532,Borderlands,Positive,"Completed #Fustercluck this weekend, rounding off year one of #Borderlands3. I decided to go back in response and play the original Borderlands again as I had the 4K GOTY version on my PC already. The shooting feels awful. I'm going to try some suggested ini changes tomorrow."
10268,PlayerUnknownsBattlegrounds(PUBG),Positive,Doing anything in extreme will cause  consequences...banning pubg is not the solution! #UnBanPubg
3148,Dota2,Negative,$1000 wasted
775,ApexLegends,Negative,@PlayApex  can you guys please fix the disconnect reconnect issue it really sucks getting penalized in ranked for a disconnect and dying you need invincibility or something we’re you can get killed cuz it’s really bullshit
11977,Verizon,Positive,"Exciting news! Verizon, Ericsson and Qualcomm are first in the world to achieve #5G peak speed of 5.06 Gbps! #TeamEricsson t.eric.sn/2HHzpaI"
8544,NBA2K,Negative,Wow @NBA2K y’all gotta do something about this
7213,LeagueOfLegends,Negative,WTF
11331,TomClancysRainbowSix,Negative,what a joke #TomClancysRainbowSixSiege #XboxShare pic.twitter.com/flxOM0xVub
8129,Microsoft,Negative,"Today I found out that Windows' Cortana actually sounds like Jen Taylor in America but nowhere else. What the fuck, microsoft?!"
8486,NBA2K,Negative,Yo @NBA2K fuck your fake ass garbage ass game
2527,Borderlands,Positive,"Watching You Kalloori Perfect Situation Mystic River Tampa Prescott Dak Johnson Marcus Lego Harry Potter: Years 5-7 Mille Lacs Leonard Kawhi Ivan Rakitic Chilton Dan Glazer Jeff Carter Julio Garcia Algemarin L Borderlands 2 I'll Always Love You

loveok.store/best-online-sh… https://t.co/AP6H8thDzT"
11240,TomClancysRainbowSix,Positive,"Hella excited for tonight, as always! 👀

I'll be participating under @AceOfPyrite's leadership, and I'm looking forward to a terrific evening of #RainbowSixSiege!

If you're looking for some Siege to watch, swing by and say hello, from 19:00 BST! 👍

twitch.tv/rainbowsix_uk"
5075,GrandTheftAuto(GTA),Positive,Good fucking day today happy to be back more GTA RP tmr 👊♥️
9473,Overwatch,Positive,Youre doing gods work 😔✊✊
3617,Cyberpunk2077,Positive,Playing through the Witcher 3 again and the Novigrad's quests and the atmosphere make me even more excited for the @CyberpunkGame. Can't wait to get to the Night City.
6610,Fortnite,Negative,@FortniteGame Making the storm water was the most retarded thing anyone could come up with. Smfh it’s like y’all wanna ruin ur own game 🤦‍♂️
6339,FIFA,Negative,Damn
10568,RedDeadRedemption(RDR),Positive,It’s been a year and a half since Red Dead Redemption 2 came out and I finally have time to play it now. It has completely sucked away 3 days of my life now. Very worth it
9766,PlayStation5(PS5),Positive,the ps5 got fortnite? alr rip xbox
10422,RedDeadRedemption(RDR),Positive,This is fantastic!
2430,Borderlands,Positive,Platinum is the best loot @Borderlands #PS4share pic.twitter.com/oxBbrsPbV2
11328,TomClancysRainbowSix,Negative,I have a brand new pc drivers are all up  to date and all but game is still crashing what is going on @Rainbow6Game
11753,Verizon,Negative,Hey @Verizon we have tried contacting you in everyway and have gotten nowhere. We have issues and YOU CAN'T BE REACHED! Our experience with Verizon has been SO BAD that we just want out. Maybe @ATT is looking for a new customer.
7733,MaddenNFL,Negative,@EAMaddenNFL franchise and face of the franchise are both terrible. @NFL #NFLdropEA #NFLDROPSEA
8800,NBA2K,Negative,@NBA2K @2KSupport @LD2K @Beluba  can y’all please fix this !!! pic.twitter.com/yTZ3HA6Xtf
866,AssassinsCreed,Positive,I was inspired by @miserabletop to get assassins creed on switch and now I couldn’t be more excited to leave the party early to go home and play Black Flag pic.twitter.com/yHrybJDYnn
7835,MaddenNFL,Positive,bro this is FIRE
4453,Google,Positive,Good to know👇
2847,Dota2,Positive,"Pre-Covid: Student Game day! Introducing students to Robot Entertainment game as our own form of Leauge of Legends/DOTA2 for our ELL program. They really loved it.  Check it out. Ready Set Heroes.
lnkd.in/g-XjTNM
#esports  #youth #changeforgood #c…lnkd.in/gXajeCC"
10156,PlayerUnknownsBattlegrounds(PUBG),Positive,Played pubg for the first time in a long time and loved it. Will be posting clips tonight!
1103,AssassinsCreed,Negative,Ghost of tsushima is a better assassins creed game than modern assassins creed
10027,PlayerUnknownsBattlegrounds(PUBG),Positive,👍 on @YouTube: PUBG BEST KILLS | 48 SQUAD KILLS | 26 SOLO KILLS | Skreams Gaming | BEST KILLS RECORD | Dadaabhihai youtube.com/watch?v=7Jc7dz…
7357,LeagueOfLegends,Positive,Bravo @riotgames always know how to get me hyped for the @LeagueOfLegends ranked season super excited💯
11551,TomClancysRainbowSix,Negative,Nice bug @Rainbow6Game pic.twitter.com/MeOpHhpA7D
115,Amazon,Negative,Plague of Corruption is #1 on Amazon and # 3 on The NY Times bestseller list. pic.twitter.com/mr2gbN43I9
6964,johnson&johnson,Negative,"And the US WANTS TO TRUST THIS COMPANY with a VACCINE?

Johnson & Johnson knew for decades that ASBESTOS lurked in some of its baby powder - nbcnews.com/health/health-…"
9353,Overwatch,Positive,Time to play some #Overwatch with @helldoom on my #MiNotebookHorizonEdition. This game mode has 1 tank hero vs 6 dps heroes and it's absolutely nuts! pic.twitter.com/BIgx0vDwbm
3263,Facebook,Positive,Wow
10544,RedDeadRedemption(RDR),Negative,Hi guys I just got red dead redemption and I have no idea how anything works but a pack of wolves just killed me and stole my bear pelt so I rage quit and I’m gonna take a break from this game for the foreseeable future.
5121,GrandTheftAuto(GTA),Negative,@RockstarGames how the hell is gta online STILL this fucking broken???
8371,Microsoft,Positive,"This official Microsoft Trailer of #microsoftflightsimulator is simply stunning. Wow! I have to upgrade my PC asap
youtube.com/watch?v=gKIBNs…"
7349,LeagueOfLegends,Positive,"My games crew had a League of legends clash yesterday, and this is how all of my texting apps looked like.
I love these assholes xD pic.twitter.com/NT3CfSlteN"
2785,Borderlands,Negative,For more then 3 weeks now 2k uk hasnt drawn a winner for their borderlands 3 collector edition giveaway. I mean I think thats funny that companies can just do fake giveaways and not be called out on it. youtube.com/watch?v=-HUh50…
6896,johnson&johnson,Positive,"Johnson & Johnson regains footing - Analysis - 15-04-2020: Johnson & Johnson's stock returned higher with a 4.48% profit, with support from the 50-day ... dlvr.it/RTqQdP"
12681,WorldOfCraft,Positive,Good Job @Blizzard_Ent 😡 @BlizzLatAm @Warcraft pic.twitter.com/zyoT3FLEn0
3431,Facebook,Negative,The best thing I could’ve done for my #mentalhealth was delete Facebook.
10496,RedDeadRedemption(RDR),Positive,Planning on spending my entire night playing Red Dead Redemption and getting stoned and I have absolutely no regrets
4710,Google,Negative,"@AndroidDev I've just noticed an issue while upgrading Android Gradle Plugin from 3.5.0 to 3.6.3, the google compile-testing library is crashing when retrieving resources.

An example and more details are available there:
github.com/glureau/AGP_3_…

Is it something new?"
2335,CallOfDuty,Positive,This skin for Revenant looks dope!! greasygamer.com/threads/this-s… #gg #SmallStreamerCommunity #SmallStreamersConnect #smallstreamer  #SupportSmallStreamers @LaZy_RTs @FearRTs @sme_rt @SGH_RTs @SmallStreamersR @StreamerNetwork @SSS_Retweets @Gr0wthLabs #callofduty #Fortnite #rainbow6
7950,MaddenNFL,Negative,@EAMaddenNFL when I first pre ordered it said standard would get to play 3 days early now only the other 2 version thanks a lot smh
833,AssassinsCreed,Positive,finally completed assassin's creed odyssey so now comes the best part of finishing anything: reading the tvtropes page
1106,AssassinsCreed,Positive,The newest assassins creed looks so FREAKING SICK AND I CANNOT WAIT.
1051,AssassinsCreed,Positive,I'm in love @mlssmahut #assassincreedodyssey #assassinscreed #ubisoft @Ubisoft #kassandra #PS4share pic.twitter.com/tbk2cnF1Ou
6953,johnson&johnson,Negative,Sales decline in U.S. & Canada due to cancer claims. So the company decides to victimize people in the Third World.
3095,Dota2,Negative,and i cant even get a lvl 1 battle pass. life is unfair 😭
11941,Verizon,Positive,Thanks for helping small businesses.  Life blood of this country.
9880,PlayStation5(PS5),Positive,Just so god Damn beautiful 😍 #PS5 pic.twitter.com/N14QKPrftj
6907,johnson&johnson,Positive,"Johnson & Johnson Beats Q1 Estimates, Raises Dividend

“Johnson & Johnson $JNJ stock rose 4.7% as of 12:30 PM ET today. Investors are optimistic about the company’s strong first-quarter results and a dividend hike.”

#johnsonandjohnson #earnings #dividend
marketrealist.com/2020/04/johnso… https://t.co/i61Bk0GdRH"
2547,Borderlands,Positive,I love u guys
13039,Xbox(Xseries),Positive,"Damn! Microsoft is going all out in showing off the new Xbox Series X while Sony hasn't made a peep theverge.com/2020/3/16/2115…

As a PlayStation guy, this thing sounds like a screamer."
4895,GrandTheftAuto(GTA),Negative,I can't stand your ass OMG!
3683,Cyberpunk2077,Positive,Can't wait to get it on next gen console... :D #PlayStation5 #CDProjektRED #Cyberpunk2077
714,ApexLegends,Negative,@PlayApex I have problems to buy the battlepass with the new patch
5688,HomeDepot,Negative,I will be boycotting Home Depot I can shop other places they no longer get my money again Americans buy a book of stamps from the postal office as many as you can that will keep them running
10601,RedDeadRedemption(RDR),Positive,The new Red Dead Redemption’s graphics look incredible!
11567,TomClancysRainbowSix,Positive,"Like @NarwhalSulky I was super surprised to be sent some more Siege swag! Including a headset I shit you not! I think a cheeky giveaway might be in order for that, what do you guys think? #RainbowSixSiege
Thanks @Rainbow6Game this was super unexpected! pic.twitter.com/pqmVtNmVuH"
7019,johnson&johnson,Negative,"LMAO...this country is fvcked up. JFC, just saw a Johnson & Johnson commercial--You know, the folks with toxic talc causing cancer--talking about how they're working round the clock for a #Covid19 #Vaccine.

Line up folks! Roll up your sleeves."
12987,Xbox(Xseries),Positive,May is gonna be awesome 😍
3331,Facebook,Negative,Facebook is a hub of fake information.
9336,Overwatch,Negative,I’m just gonna say it - Overwatch essentially being nominated for LGBTQ+ game of the year is worse than if Rise of Skywalker was nominated for LGBTQ+ film of the year. At least in Rise of Skywalker if you slow the footage down and zoom in you can see gay shit if you squint.
8179,Microsoft,Positive,"Trust in Technology is Important !
@satyanadella at #MSInspire 
I Love the Boomerang in the Background 😍 #MVPBuzz is Sharing Technology Again and Again with New Features ! It's like a Boomerang with the Community and Microsoft 🚀 pic.twitter.com/sUnTR07x5y"
1131,AssassinsCreed,Positive,Assassins creed odyssey 🔥🔥🔥🔥 probably my favorite out of the series
6431,Fortnite,Negative,@EpicGamesTR @FortniteGame   My save the world glithced our and I didn’t get my 300 vbucks from save the world for daily log in. I pressed claim it worked but they are not showing up.
6267,FIFA,Negative,Pissing people off in FIFA and on twitter 😭😭😭
1223,Battlefield,Negative,@EAHelp Hi was booted from battlefield V game and now unable to go online. Seeing a few people on the subreddit say the same. Is there an issue with battlefield servers?
8131,Microsoft,Positive,Whoever created the “undo” button on Microsoft Word is a genius
12792,WorldOfCraft,Negative,@Warcraft Can you explain this bullshit? Thanks pic.twitter.com/Wel3cU4KnZ
2857,Dota2,Positive,"Ugh. I remember staring at Lina and drooling for days and even made her, just her, my screensaver. She looks so freaking good."
6338,FIFA,Negative,@chaplinez70 morning. You might not agree with me and I mean no disrespect to anyone but I feel having an international break during this pandemic is a terrible idea. I don't understand what the guys at FIFA are thinking but its just not right.
4880,GrandTheftAuto(GTA),Positive,"Love GTA San Andreas and red death redemption, also I still have my old ps3 slim, I would love to get this please."
2897,Dota2,Negative,dead game 😔
11388,TomClancysRainbowSix,Positive,I'm loving all the R6 and animal crossing crossovers. Somehow more surprising to me than animal crossing and doom.
8876,Nvidia,Negative,2.5gbit is SERIOUSLY Threatening NVIDIA Super Review
4701,Google,Positive,"lol i was looking for something to listen to that was upbeat for 1998 and the first recommendation was my heart will go on, nice job google"
2935,Dota2,Negative,Delete techies pls fck u @DOTA2
8719,NBA2K,Negative,"@NBA2K you guys gotta fix the shooting bugs bc EVERYTIME I green people are kicked out . My green animation flickers like crazy before also kicking me out , my stats in park are garbage bc of it"
6353,FIFA,Positive,"This was easily the best Fifa. First time with secondary divisions, off the ball control, free kick spin and placement. And an original soundtrack to vibe to. Unmatched. #fifa #EASPORTSFIFA #fifa2004 pic.twitter.com/LMzXeAgopr"
2573,Borderlands,Negative,This cricket has been the worst hivemind of fandom I have done this more times than I would love to be better if the Tarzan level in Kingdom Hearts is as bad as Borderlands.
9661,PlayStation5(PS5),Positive,"It was true epic, omfg"
13195,Xbox(Xseries),Positive,Great starting price.
3634,Cyberpunk2077,Positive,"""A delayed game is eventually good, but a rushed game is forever bad."" - 

Shigeru Miyamoto
Video Game Design Legend

Devs of #Cyberpunk2077, please take care of yourselves. This is a game we have waited years for, a few more weeks won’t hurt."
4094,CS-GO,Positive,best of luck !
3469,Facebook,Positive,I am very interested in this
10563,RedDeadRedemption(RDR),Positive,red dead redemption got me wanting to move to a mother fucking ranch
9481,Overwatch,Negative,My goodness @PlayOverwatch your matchmaking in competitive is as shitty as Trumps dick because he's fucking the USA in the ass.
9415,Overwatch,Negative,What does everyone think of @PlayOverwatch open que comp? I've been rolling on sigma but it's hell if you don't have supp players. #overwatch
7384,LeagueOfLegends,Positive,League of Legends taught me to come to terms with my own disappointing third novel
10249,PlayerUnknownsBattlegrounds(PUBG),Negative,I hate that music
1804,CallOfDutyBlackopsColdWar,Positive,"BLACK OPS COLD WAR OFFICIAL REVEAL! (New Trailer Thoughts) youtu.be/5YgBjhf96zY via @YouTube I can’t wait bro! Love the video, getting me hype 😅🙏 @RealThunder402"
6291,FIFA,Positive,#WorldCupAtHome: Five African matches you would love to see from FIFA googlehits.com/worldcupathome… https://t.co/Lvr8g2vhsn
1221,Battlefield,Negative,"@EAHelp I haven't been able to log on to Battlefield V on XBox One and a friend encountered the same issue. We just can't go in and data won't sync. However, BF1, NHL 20 and all other games I have appear to be fine though. Why is that?"
10933,TomClancysGhostRecon,Negative,@GhostRecon #GhostReconBreakpoint just took down a Terminator pic.twitter.com/qjrq9IC3be
3058,Dota2,Positive,3.7k to 3.2k 🙃 I LOVE DOTA 2 PUTANG INA
7285,LeagueOfLegends,Negative,damn just want my 100lp back can’t have shit in league of legends
8788,NBA2K,Negative,Not this again
9105,Nvidia,Positive,It's Very Interesting If We Get Something For Smartphones By Nvidia
5464,Hearthstone,Positive,Yogg Saron’s Puzzle Box is quite possibly my favorite card in the game.  Secrets and Puzzle Box make for truly crazy insane WTF moments.  So fun even when it’s a shitshow.  🤣 #Hearthstone
8408,NBA2K,Negative,2k games is never the same again 💔😭
11622,Verizon,Negative,"@verizonfios frustration! on hold for 30min, finally talk to a rep, says she has to call me back due to static (which i didn’t hear). it’s been 4hours and still haven’t heard from her. terrible customer service experience!  @Verizon"
1023,AssassinsCreed,Negative,"My experience with ASSASSIN'S CREED: ODYSSEY

""WTF? Are those the opening credits? I've been playing this for days! Where's the Spider-Man disc?"""
4274,CS-GO,Positive,we've been crushing CS:GO over at @windailysports ! Congrats @jack94024127 💪🏻
7506,LeagueOfLegends,Negative,"dont forget tpci is partnering with t*ncent  for a mobile pokemon league of legends and league being league aside, t*ncent is a really shady+shitty company and will likely be featured"
5074,GrandTheftAuto(GTA),Positive,hella good options and i loved all of these games but I gotta go with GTA 4 pic.twitter.com/DCuTj9qa8O
8716,NBA2K,Negative,@NBA2K if 2K21 anything like 20 again I'm never buying a game from y'all again. Make the game like 2K16
3277,Facebook,Negative,"All my success in the past came from people that don't know a single thing about me. Time to go back to that audience.  I'm done with Facebook, not catering to that crowd anymore."
11808,Verizon,Negative,"@Verizon  I’m done with y’all, y’all charge too damn much for a cellphone. Plus your service sucks."
10223,PlayerUnknownsBattlegrounds(PUBG),Positive,"Thank you waqar bhai finally pubg unbanned 😍😍😍😍
#WaqarZaka pic.twitter.com/PgeaDhPtNc"
7446,LeagueOfLegends,Negative,My League of Legends started having FPS spikes two days ago. Is this a sign I should stop playing?
5417,Hearthstone,Positive,"Hey guys, I just hit legend on EU with an incredible winrate of 45%, which seems strange to me, but I take it :D Got a lot of rewards and the new ranks look kinda cool, so overall pretty happy with the changes till now. #Hearthstone pic.twitter.com/X7NqItOKlO"
4650,Google,Positive,"It's great that big companies can't do everything... Otherwise today we would have had yellow pages, Yahoo. #Google wouldn't have been able to give us all the cool product thinking. The optimist in me says @zoom_us is a disrupter and there are many more.. #GoogleMeet @airmeet_com"
9840,PlayStation5(PS5),Positive,"ps5 looks NICE, I love white ;_;"
10722,RedDeadRedemption(RDR),Positive,"Thanks @RockstarGames , you're rock stars!  #RedDeadRedemption pic.twitter.com/ztc25UcGRl"
